 , date, time, times, wifi_ssid_name, stutus_result   , play youtube, local host      , bytes transmitted, average cpu load, (Mb)          , (MB/s)          
  ,2021/5/12, 03:05:51 ,233,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,114637250,45.43553288,905.2098349,107.9094213
  ,2021/5/12, 03:07:14 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,113982180,55.15229417,907.9667144,108.238067
  ,2021/5/12, 03:08:27 ,234,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,95640220,87.12647457,761.9520946,90.83176787
  ,2021/5/12, 03:09:38 ,    ,CBN_CH8679G_Nelson-5G ,Scanning ,Played ,10.118.252.82 ,112016970,42.97662199,895.8373828,106.792138
  ,2021/5/12, 03:11:08 ,235,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,115292320,45.06600288,922.2314798,109.9385595
  ,2021/5/12, 03:12:29 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,117257530,41.85056473,937.9627383,111.8138717
  ,2021/5/12, 03:13:39 ,236,CBN_CH8679G_Nelson-24G ,Connecting ,Played ,10.118.252.82 ,110051760,46.17959801,879.2437267,104.81402
  ,2021/5/12, 03:14:59 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,112672040,54.04557365,900.931257,107.3993751
  ,2021/5/12, 03:16:11 ,237,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,112672040,53.09250365,892.2856224,106.3687351
  ,2021/5/12, 03:17:37 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,111361900,55.8405204,888.9421699,105.9701645
  ,2021/5/12, 03:18:46 ,238,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,114637250,42.71493897,916.2082895,109.2205393
  ,2021/5/12, 03:20:05 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,117257530,40.54063784,937.2149307,111.724726
  ,2021/5/12, 03:21:12 ,239,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,119222740,43.59426752,952.9776052,113.6037833
  ,2021/5/12, 03:22:36 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,119222740,45.74399482,951.6835577,113.4495208
  ,2021/5/12, 03:23:49 ,240,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,119877810,44.25515131,956.592628,114.0347276
  ,2021/5/12, 03:25:11 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,120532880,43.68978371,962.196326,114.7027404
  ,2021/5/12, 03:26:20 ,241,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,113327110,43.45017766,906.1130883,108.0170975
  ,2021/5/12, 03:27:41 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,119222740,46.4033537,948.8885078,113.1163249
  ,2021/5/12, 03:28:52 ,242,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,112672040,48.38776938,898.4553735,107.1042268
  ,2021/5/12, 03:30:18 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,105466270,64.03049552,840.8099904,100.2323616
  ,2021/5/12, 03:31:31 ,243,CBN_CH8679G_Nelson-24G ,Disconnected ,Played ,10.118.252.82 ,117912600,57.31228384,939.4059299,111.9859135
  ,2021/5/12, 03:32:56 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,112672040,51.28673023,901.2682358,107.4395461
  ,2021/5/12, 03:34:06 ,244,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,115947390,46.89254983,923.350157,110.0719162
  ,2021/5/12, 03:35:24 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,117257530,45.57068905,937.1475146,111.7166894
  ,2021/5/12, 03:36:38 ,245,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,116602460,48.15299078,930.5677539,110.9323208
  ,2021/5/12, 03:38:13 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,112672040,44.33868279,901.2727478,107.440084
  ,2021/5/12, 03:39:26 ,246,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,115292320,57.25132678,917.5316029,109.3782905
  ,2021/5/12, 03:40:54 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,115947390,38.24971848,926.2582928,110.418593
